address,chain,name,entity,category,tags
0x02cb02c72e8a0975e69e88298443e984d965a49eab38f5bdde1f5072daa09cfe,starknet,Starknet Staking,Starknet Staking,staking,"defi,staking"
0x01f083b98674bc21effee29ef443a00c7b9a500fd92cf30341a3da12c73f2324,starknet,Troves,Troves,portfolio,defi
0x07346e65e80eb61cdfcc56f6f21de07b312e93fe770fb17a6e43c1950acfdbab,starknet,Uncap,Uncap,yield,"defi,yield"
0x06716836514e75e9f4eaa0fe93aa0448480a321b669041d6b5f27aa75374ac66,starknet,Uncap,Uncap,yield,"defi,yield"
0x0586fc03b4e6901ef423890c19e8fcf528a269329ab23ff7cb2df975ec3d4d62,starknet,Uncap,Uncap,yield,"defi,yield"
0x0780627de12ac84a7887b7f83496a8ece5ea3c5eb7170f9f00587dabfdbe18d1,starknet,Uncap,Uncap,yield,"defi,yield"
0x001ba4a9e2e86a41c6ed15016eda0404d12bf7b01052cccff1ace84d818335c7,starknet,Uncap,Uncap,yield,"defi,yield"
0x042a37aa9263b01191286f0f800cc85c676441fb9d27d74bbf3ebcbf4e373d81,starknet,Uncap,Uncap,yield,"defi,yield"
0x033fce86e1de643d13ef366059193fc0ca42a08888c0a589866d940e865ceb38,starknet,Uncap,Uncap,yield,"defi,yield"
0x075d9e518f46a9ca0404fb0a7d386ce056dadf57fd9a0e8659772cb517be4a18,starknet,Uncap,Uncap,yield,"defi,yield"
0x05a98d258b4cc6c8b8b654fa1ee36146c79e8c5315a610d7ee03df9b4b27a11e,starknet,Uncap,Uncap,yield,"defi,yield"
0x04a1e17f1e4d5fdd839fa6a4c52a742b9d10871028b6ffcfb2f1de8dd5dc2cd4,starknet,Uncap,Uncap,yield,"defi,yield"
0x06914f468ba28ad42149db6ed642c3c4f123a2c91f3e569d02e90881531c960e,starknet,Uncap,Uncap,yield,"defi,yield"
0x0477a98816f0298d678a8c74bd06e898ee4e3bb62fdb9bb05c397f3135ae8398,starknet,Uncap,Uncap,yield,"defi,yield"
0x02ceed65a4bd731034c01113685c831b01c15d7d432f71afb1cf1634b53a2125,starknet,Universal Deployer,Universal Deployer,infrastructure,infrastructure
0x000d8d6dfec4d33bfb6895de9f3852143a17c6f92fd2a21da3d6924d34870160,starknet,Vesu,Vesu,lending,"defi,lending"
0x058c80ed9801b32b441566d320ae236c73257981800dcda63c9f02dd154c3f39,starknet,Vesu,Vesu,lending,"defi,lending"
0x02458a105b42db469fb1f8b35ab3ce126dab5a0881ad3c2bbf36bec0a34168c5,starknet,art/peace,art/peace,nft,nft
0x057b14a4231b82f1e525ff35a722d893ca3dd2bde0baa6cee97937c5be861dbc,starknet,atomiq.exchange,atomiq.exchange,dex,"defi,swap"
0x05aed2861d17a82b537528597f6710185088429b1c404bed9751518c87902cba,starknet,snapshotX,snapshotX,governance,governance
0x00585c32b625999e6e5e78645ff8df7a9001cf5cf3eb6b80ccdd16cb64bd3a34,starknet,zkLend,zkLend,lending,"defi,lending"
0x07920a284a58c07b5212c070621df91471008d2ad9620d299d9a8aa0acf58abc,starknet,Unknown Validator (staker),Unknown Validator,staking,"staking,validator,staker"
0x067479c9ebd852bf0e17467f5624a7441bd63a6d4c1f1bb0d85ddb48fa8c414e,starknet,Unknown Validator (staker),Unknown Validator,staking,"staking,validator,staker"
0x02d3231a0661e52f4326e1a5d40dd6e05396bf994535662fb1e1cf746c14d082,starknet,WDMASTER (staker),WDMASTER,staking,"staking,validator,staker,has-delegators"
0x053884dfd9b476a223a13793973fb5f5cff2fe0d4ef3f7e377de8678de3a0a5b,starknet,Unknown Validator (staker),Unknown Validator,staking,"staking,validator,staker,has-delegators"
0x07bcc23ef59476c2dc09218afae71405e295ed58442ece796ce22a0b04adb571,starknet,Nonnyjoe (staker),Nonnyjoe,staking,"staking,validator,staker,has-delegators"
0x0329de61cdda3e8ff4e69b57cb21bded4ba026fc13f007344053e59737597bb0,starknet,node101 (staker),node101,staking,"staking,validator,staker,has-delegators"
0x07a2d301fd29171ab96d9f1b24d1db5d2649e6ea97630de620cbcae54c680f55,starknet,AnyValid (staker),AnyValid,staking,"staking,validator,staker,has-delegators"
0x01012c7ce5ed1a11964e5609d58a4db9154f373f41adee673416b1e07fcf6d90,starknet,Trust Your Technolust (staker),Trust Your Technolust,staking,"staking,validator,staker,has-delegators"
0x071995e702c5c3f27a991c33aa080b278435ce014e422ef1dfe80ff1420e3fc1,starknet,Anchorage Digital (staker),Anchorage Digital,staking,"staking,validator,staker,has-delegators"
0x06cd7eb999b4236b94feaf233ed08330e2f1963d26dd6464b002b4b2d17fd517,starknet,BitBoard (staker),BitBoard,staking,"staking,validator,staker,has-delegators"
0x00af5b577ec756cef1c21dc3e7bd13e02b2f3677926b8d6ee2ff2a4256b7f1ca,starknet,OwlStake (staker),OwlStake,staking,"staking,validator,staker,has-delegators"
0x064204710398bbd2a3af22b9335f4d75234f16e5badb5210b686232f2333d9f1,starknet,Nansen (staker),Nansen,staking,"staking,validator,staker,has-delegators"
